  Variable           Value    Variable           Value  
    D( 49)        3.000000  
    D( 50)        5.000000  
    D( 51)        4.000000  
    D( 52)        5.000000  
    D( 53)        7.000000  
    D( 54)        10.00000  
    D( 55)        9.000000  
    D( 56)        9.000000  
    D( 57)        10.00000  
    D( 58)        11.00000  
    D( 59)        9.000000  
    D( 60)        8.000000  
    D( 61)        9.000000  
    D( 62)        10.00000  
    D( 63)        9.000000  
    D( 64)        8.000000  
    D( 65)        9.000000  
    D( 66)        10.00000  
    D( 67)        8.000000  
    D( 68)        8.000000  
    D( 69)        8.000000  
    D( 70)        10.00000  
    D( 71)        7.000000  
    D( 72)        7.000000  
    D( 73)        7.000000  
    D( 74)        8.000000  
    D( 75)        7.000000  
    D( 76)        7.000000  
    D( 77)        9.000000  
    D( 78)        11.00000  
    D( 79)        10.00000  
    D( 80)        11.00000  
    D( 81)        13.00000  
    D( 82)        16.00000  
    D( 83)        14.00000  
    D( 84)        15.00000  
    D( 85)        17.00000  
    D( 86)        20.00000  
    D( 87)        18.00000  
    D( 88)        18.00000  
    D( 89)        18.00000  
    D( 90)        20.00000  
    D( 91)        17.00000  
    D( 92)        18.00000  
    D( 93)        18.00000  
    D( 94)        21.00000  
    D( 95)        18.00000  
    D( 96)        18.00000  
    D( 97)        18.00000  
    D( 98)        21.00000  
    D( 99)        19.00000  
   D( 100)        19.00000  
   D( 101)        20.00000  
   D( 102)        22.00000  
   D( 103)        20.00000  
   D( 104)        19.00000  
   D( 105)        20.00000  
